,Unnamed: 0,city,hazard,service,ethnicity,distance,pop_perc_cum,pop_perc
479,479,christchurch,base,primary_school,asian,8.313398,99.46610581,0.053928706
480,480,christchurch,base,primary_school,asian,8.59996,99.55239174,0.08628593
481,481,christchurch,base,primary_school,asian,8.886522,99.63867767,0.08628593
482,482,christchurch,base,primary_school,asian,9.173084,99.63867767,0.0
483,483,christchurch,base,primary_school,asian,9.459646,99.67103489,0.032357224
484,484,christchurch,base,primary_school,asian,9.746208,99.71417786,0.043142965
485,485,christchurch,base,primary_school,asian,10.03277,99.7249636,0.010785741
486,486,christchurch,base,primary_school,asian,10.319332,99.74653508,0.021571483
487,487,christchurch,base,primary_school,asian,10.605894,99.7788923,0.032357224
488,488,christchurch,base,primary_school,asian,10.892456,99.81124953,0.032357224
489,489,christchurch,base,primary_school,asian,11.179018,99.83282101,0.021571483
490,490,christchurch,base,primary_school,asian,11.46558,99.85439249,0.021571483
491,491,christchurch,base,primary_school,asian,11.752142,99.86517823,0.010785741
492,492,christchurch,base,primary_school,asian,12.038704,99.88135685,0.016178612
493,493,christchurch,base,primary_school,asian,12.325266,99.88135685,0.0
494,494,christchurch,base,primary_school,asian,12.611828,99.89214259,0.010785741
495,495,christchurch,base,primary_school,asian,12.89839,99.97303565,0.080893059
496,496,christchurch,base,primary_school,asian,13.184952,99.97303565,0.0
497,497,christchurch,base,primary_school,asian,13.471514,99.98921426,0.016178612
498,498,christchurch,base,primary_school,asian,13.758076,99.99460713,0.005392871
499,499,christchurch,base,primary_school,asian,14.044638,100.0,0.005392871
500,500,christchurch,base,primary_school,polynesian,0.0031,5.651003933,5.651003933
501,501,christchurch,base,primary_school,polynesian,0.289662,21.48623473,15.8352308
502,502,christchurch,base,primary_school,polynesian,0.576224,46.51210929,25.02587456
503,503,christchurch,base,primary_school,polynesian,0.862786,68.26743945,21.75533016
504,504,christchurch,base,primary_school,polynesian,1.149348,82.67439454,14.40695508
505,505,christchurch,base,primary_school,polynesian,1.43591,89.6294763,6.955081764
506,506,christchurch,base,primary_school,polynesian,1.722472,93.12771683,3.49824053
507,507,christchurch,base,primary_school,polynesian,2.009034,94.86648727,1.738770441
508,508,christchurch,base,primary_school,polynesian,2.295596,95.83937073,0.972883461
509,509,christchurch,base,primary_school,polynesian,2.582158,96.33616229,0.496791555
510,510,christchurch,base,primary_school,polynesian,2.86872,96.52245912,0.186296833
511,511,christchurch,base,primary_school,polynesian,3.155282,96.7294556,0.206996481
512,512,christchurch,base,primary_school,polynesian,3.441844,97.03995032,0.310494722
513,513,christchurch,base,primary_school,polynesian,3.728406,97.20554751,0.165597185
514,514,christchurch,base,primary_school,polynesian,4.014968,97.35044504,0.144897537
515,515,christchurch,base,primary_school,polynesian,4.30153,97.39184434,0.041399296
516,516,christchurch,base,primary_school,polynesian,4.588092,97.47464293,0.082798592
517,517,christchurch,base,primary_school,polynesian,4.874654,97.53674188,0.062098944
518,518,christchurch,base,primary_school,polynesian,5.161216,97.64024012,0.103498241
519,519,christchurch,base,primary_school,polynesian,5.447778,97.66093976,0.020699648
520,520,christchurch,base,primary_school,polynesian,5.73434,97.66093976,0.0
521,521,christchurch,base,primary_school,polynesian,6.020902,97.68163941,0.020699648
522,522,christchurch,base,primary_school,polynesian,6.307464,97.72303871,0.041399296
523,523,christchurch,base,primary_school,polynesian,6.594026,97.99213413,0.269095425
524,524,christchurch,base,primary_school,polynesian,6.880588,97.99213413,0.0
525,525,christchurch,base,primary_school,polynesian,7.16715,98.19913061,0.206996481
526,526,christchurch,base,primary_school,polynesian,7.453712,98.3233285,0.124197889
527,527,christchurch,base,primary_school,polynesian,7.740274,98.46822604,0.144897537
528,528,christchurch,base,primary_school,polynesian,8.026836,98.55102463,0.082798592
529,529,christchurch,base,primary_school,polynesian,8.313398,98.77872076,0.227696129
530,530,christchurch,base,primary_school,polynesian,8.59996,98.84081971,0.062098944
531,531,christchurch,base,primary_school,polynesian,8.886522,98.94431795,0.103498241
532,532,christchurch,base,primary_school,polynesian,9.173084,98.94431795,0.0
533,533,christchurch,base,primary_school,polynesian,9.459646,99.00641689,0.062098944
534,534,christchurch,base,primary_school,polynesian,9.746208,99.33761126,0.33119437
535,535,christchurch,base,primary_school,polynesian,10.03277,99.37901056,0.041399296
536,536,christchurch,base,primary_school,polynesian,10.319332,99.37901056,0.0
